Name	ID	Date	Time		Latitude	Longitude	Speed
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	14:00		47.628707	07.559938	2.96
TERMINATED - 401775	401775	1/9/2019	14:00		47.629853	07.559648	0.37
Onissoi	401776	1/9/2019	15:00		47.630982	07.558272	0.37
Odaline	401778	1/9/2019	15:00		47.630998	07.557277	0.93
TERMINATED - 401775	401775	1/9/2019	15:00		47.631760	07.557350	0.19
Odissa	401777	1/9/2019	15:00		47.631137	07.557330	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	15:01		47.630948	07.557910	0.74
Onissoi	401776	1/9/2019	16:00		47.630253	07.557910	0.19
TERMINATED - 401775	401775	1/9/2019	16:00		47.630567	07.558250	0.19
Odaline	401778	1/9/2019	16:00		47.630373	07.558560	0.56
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	16:00		47.630150	07.558300	0.19
Odissa	401777	1/9/2019	16:00		47.630222	07.557800	0
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	17:00		47.630247	07.558543	0.74
Odissa	401777	1/9/2019	17:00		47.630135	07.558600	0
TERMINATED - 401775	401775	1/9/2019	17:00		47.630208	07.559020	0.19
Odaline	401778	1/9/2019	17:00		47.630580	07.558243	1.48
TERMINATED - 401775	401775	1/9/2019	18:00		47.634030	07.549763	35
Odaline	401778	1/9/2019	18:00		47.631227	07.556325	0.74
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	18:00		47.630855	07.557097	0.93
Odissa	401777	1/9/2019	18:00		47.631008	07.557055	0.74
Onissoi	401776	1/9/2019	18:00		47.631033	07.557000	0.37
Onissoi	401776	1/9/2019	19:00		47.629923	07.558982	0.93
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	19:00		47.629552	07.558897	0.56
Odissa	401777	1/9/2019	19:00		47.629507	07.559390	0.19
Odaline	401778	1/9/2019	19:00		47.629487	07.559347	0.37
Onissoi	401776	1/9/2019	20:00		47.629272	07.559722	0.93
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	20:00		47.629398	07.559802	1.67
Odissa	401777	1/9/2019	20:00		47.629027	07.559730	0.56
Odaline	401778	1/9/2019	20:00		47.629012	07.560015	0.74
TERMINATED - 401775	401775	1/9/2019	20:01		47.621800	07.535140	1.67
Odissa	401777	1/9/2019	21:00		47.629062	07.559675	0.56
Onissoi	401776	1/9/2019	21:00		47.629618	07.559342	0.37
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	21:00		47.629395	07.559918	0.37
Odaline	401778	1/9/2019	21:00		47.629308	07.559280	0.93
TERMINATED - 401775	401775	1/9/2019	21:01		47.621830	07.535238	1.11
TERMINATED - 401774 lost (ex-Olocen)	401774	1/9/2019	22:00		47.629530	07.559525	1.3
Odissa	401777	1/9/2019	22:00		47.628968	07.559167	0
Onissoi	401776	1/9/2019	22:00		47.629615	07.559602	1.48
Odaline	401778	1/9/2019	22:00		47.629045	07.559213	0.74
Onissoi	401776	1/9/2019	23:00		47.629563	07.559025	0.37
Odissa	401777	1/9/2019	23:00		47.629320	07.558818	0
Odaline	401778	1/9/2019	23:00		47.629482	07.559050	0.37
