Name	ID	Date	Time		Latitude	Longitude		Speed
TERMINATED - 401771	401771	1/10/2019	11:00		47.631498	07.562518		0.37
TERMINATED - 401771	401771	1/10/2019	12:00		47.631295	07.563242		0.19
TERMINATED - 401770	401770	1/10/2019	12:00		47.631427	07.563225		0.93
 TERMINATED - 401773	401773	1/10/2019	12:00		47.631560	07.562985		0
 TERMINATED - 401773	401773	1/10/2019	13:00		47.631335	07.563193		1.11
TERMINATED - 401771	401771	1/10/2019	13:00		47.631418	07.564493		1.11
TERMINATED - 401770	401770	1/10/2019	13:01		47.632288	07.563775		2.22
TERMINATED - 401770	401770	1/10/2019	14:00		47.631282	07.563437		0.37
TERMINATED - 401771	401771	1/10/2019	14:00		47.631820	07.563832		0.37
 TERMINATED - 401773	401773	1/10/2019	14:00		47.631243	07.563310		0.74
TERMINATED - 401771	401771	1/10/2019	15:00		47.631308	07.563378		0.93
TERMINATED - 401770	401770	1/10/2019	15:00		47.631243	07.563362		0.74
 TERMINATED - 401773	401773	1/10/2019	15:00		47.631423	07.563398		0.56
TERMINATED - 401771	401771	1/10/2019	16:00		47.631002	07.563710		1.3
 TERMINATED - 401773	401773	1/10/2019	16:00		47.631138	07.563908		1.11
TERMINATED - 401770	401770	1/10/2019	16:00		47.631173	07.563687		0.37
 TERMINATED - 401773	401773	1/10/2019	17:00		47.631208	07.562128		0.37
TERMINATED - 401771	401771	1/10/2019	17:00		47.630977	07.562963		2.59
TERMINATED - 401770	401770	1/10/2019	17:00		47.630605	07.562723		2.59
TERMINATED - 401770	401770	1/10/2019	18:00		47.631517	07.562363		0.19
TERMINATED - 401771	401771	1/10/2019	18:00		47.630823	07.563312		0
 TERMINATED - 401773	401773	1/10/2019	18:00		47.631343	07.562877		0.56
TERMINATED - 401770	401770	1/10/2019	19:00		47.631255	07.562612		0.37
TERMINATED - 401771	401771	1/10/2019	19:00		47.631018	07.563182		0.93
 TERMINATED - 401773	401773	1/10/2019	19:00		47.631663	07.562695		1.48
 TERMINATED - 401773	401773	1/10/2019	20:00		47.631043	07.563630		0.37
TERMINATED - 401770	401770	1/10/2019	20:00		47.630765	07.563667		0.56
TERMINATED - 401771	401771	1/10/2019	20:00		47.630945	07.563653		0.56
 TERMINATED - 401773	401773	1/10/2019	21:00		47.632307	07.560953		1.67
TERMINATED - 401770	401770	1/10/2019	21:00		47.631192	07.563415		0.74
TERMINATED - 401771	401771	1/10/2019	21:00		47.630875	07.563313		1.48
 TERMINATED - 401773	401773	1/10/2019	22:00		47.630187	07.562712		2.04
TERMINATED - 401770	401770	1/10/2019	22:00		47.631147	07.563165		3.33
TERMINATED - 401771	401771	1/10/2019	22:00		47.631002	07.562163		2.78
TERMINATED - 401770	401770	1/10/2019	23:00		47.630725	07.563263		1.48
 TERMINATED - 401773	401773	1/10/2019	23:00		47.631007	07.563250		0.74
TERMINATED - 401771	401771	1/10/2019	23:00		47.630572	07.563115		0.74
 TERMINATED - 401773	401773	1/11/2019	00:00		47.631192	07.563488		0.56
TERMINATED - 401770	401770	1/11/2019	00:00		47.630640	07.563677		0.56
TERMINATED - 401771	401771	1/11/2019	00:00		47.630663	07.562962		0
TERMINATED - 401770	401770	1/11/2019	01:00		47.630680	07.563723		0.37
 TERMINATED - 401773	401773	1/11/2019	01:00		47.631262	07.563205		0.56
TERMINATED - 401771	401771	1/11/2019	01:00		47.631078	07.563135		0.37
TERMINATED - 401770	401770	1/11/2019	02:00		47.631015	07.563865		0.19
TERMINATED - 401771	401771	1/11/2019	02:00		47.630728	07.564492		0.74
 TERMINATED - 401773	401773	1/11/2019	02:00		47.631097	07.562530		0.37
 TERMINATED - 401773	401773	1/11/2019	03:00		47.629667	07.563772		0
TERMINATED - 401771	401771	1/11/2019	03:00		47.630990	07.563015		0.56
TERMINATED - 401770	401770	1/11/2019	03:00		47.628135	07.563047		0.37
TERMINATED - 401770	401770	1/11/2019	04:00		47.630882	07.561535		0.37
 TERMINATED - 401773	401773	1/11/2019	04:00		47.631458	07.563867		0.19
TERMINATED - 401771	401771	1/11/2019	04:00		47.630950	07.563538		0.37
TERMINATED - 401771	401771	1/11/2019	05:00		47.631182	07.563197		0.56
TERMINATED - 401770	401770	1/11/2019	05:00		47.630935	07.563245		0.37
 TERMINATED - 401773	401773	1/11/2019	05:00		47.631070	07.563803		0.56
TERMINATED - 401770	401770	1/11/2019	06:00		47.630870	07.563765		0
TERMINATED - 401771	401771	1/11/2019	06:00		47.630780	07.563773		1.48
 TERMINATED - 401773	401773	1/11/2019	06:00		47.631253	07.563682		0.19
 TERMINATED - 401773	401773	1/11/2019	07:00		47.631667	07.563863		0.74
TERMINATED - 401771	401771	1/11/2019	07:00		47.631553	07.563215		0.56
TERMINATED - 401770	401770	1/11/2019	07:00		47.630938	07.563353		0.93
 TERMINATED - 401773	401773	1/11/2019	08:00		47.631360	07.562607		0.37
TERMINATED - 401771	401771	1/11/2019	08:00		47.631202	07.563022		0.37
TERMINATED - 401770	401770	1/11/2019	08:00		47.630688	07.564588		0.56
 TERMINATED - 401773	401773	1/11/2019	09:00		47.631095	07.563305		0.37
TERMINATED - 401770	401770	1/11/2019	09:00		47.631223	07.563590		0.93
TERMINATED - 401771	401771	1/11/2019	09:00		47.631210	07.563323		0
 TERMINATED - 401773	401773	1/11/2019	10:00		47.631012	07.563390		0.56
TERMINATED - 401771	401771	1/11/2019	10:00		47.631355	07.562918		0.56
TERMINATED - 401770	401770	1/11/2019	10:00		47.630700	07.563753		0.93
TERMINATED - 401771	401771	1/11/2019	11:00		47.630833	07.563435		2.22
 TERMINATED - 401773	401773	1/11/2019	11:00		47.630687	07.563453		1.11
TERMINATED - 401770	401770	1/11/2019	11:00		47.630382	07.563462		0.56
 TERMINATED - 401773	401773	1/11/2019	12:00		47.631072	07.563345		0.56
TERMINATED - 401771	401771	1/11/2019	12:00		47.631123	07.563263		0.37
TERMINATED - 401770	401770	1/11/2019	12:00		47.630797	07.562880		0.37
 TERMINATED - 401773	401773	1/11/2019	13:00		47.630873	07.562998		0.74
TERMINATED - 401770	401770	1/11/2019	13:00		47.631232	07.563105		0.56
TERMINATED - 401771	401771	1/11/2019	13:00		47.630612	07.563410		0
TERMINATED - 401770	401770	1/11/2019	14:00		47.630852	07.563055		0.56
 TERMINATED - 401773	401773	1/11/2019	14:00		47.630702	07.563072		0.19
TERMINATED - 401771	401771	1/11/2019	14:00		47.630288	07.563482		0.19
TERMINATED - 401771	401771	1/11/2019	15:00		47.630458	07.563573		2.41
 TERMINATED - 401773	401773	1/11/2019	15:00		47.630190	07.563157		0.19
TERMINATED - 401770	401770	1/11/2019	15:00		47.630237	07.564145		1.48
TERMINATED - 401771	401771	1/11/2019	16:00		47.631008	07.563472		1.48
 TERMINATED - 401773	401773	1/11/2019	16:00		47.630092	07.562812		0.37
TERMINATED - 401770	401770	1/11/2019	16:01		47.631587	07.563743		0.19
TERMINATED - 401770	401770	1/11/2019	17:00		47.630840	07.562957		0.37
TERMINATED - 401771	401771	1/11/2019	17:00		47.630195	07.562423		0.74
 TERMINATED - 401773	401773	1/11/2019	17:00		47.630768	07.563333		0.93
TERMINATED - 401771	401771	1/11/2019	18:00		47.629693	07.563325		0.74
 TERMINATED - 401773	401773	1/11/2019	18:00		47.630130	07.563042		0.56
TERMINATED - 401770	401770	1/11/2019	18:00		47.630683	07.563545		0.37
 TERMINATED - 401773	401773	1/11/2019	19:00		47.630645	07.563500		0.56
TERMINATED - 401771	401771	1/11/2019	19:00		47.630655	07.564183		0.37
TERMINATED - 401770	401770	1/11/2019	19:00		47.630380	07.563547		0.37
 TERMINATED - 401773	401773	1/11/2019	20:00		47.629902	07.560675		1.11
TERMINATED - 401771	401771	1/11/2019	20:00		47.629383	07.560788		0.19
TERMINATED - 401770	401770	1/11/2019	20:00		47.630023	07.560520		0.37
TERMINATED - 401771	401771	1/11/2019	21:00		47.632030	07.559232		1.48
 TERMINATED - 401773	401773	1/11/2019	21:00		47.631018	07.560372		0
TERMINATED - 401770	401770	1/11/2019	21:00		47.631232	07.560135		0.37
 TERMINATED - 401773	401773	1/11/2019	22:00		47.631603	07.561223		0.56
TERMINATED - 401771	401771	1/11/2019	22:00		47.630240	07.560785		0.19
TERMINATED - 401770	401770	1/11/2019	22:00		47.630337	07.560642		0.19
TERMINATED - 401771	401771	1/11/2019	23:00		47.630133	07.560830		5.37
 TERMINATED - 401773	401773	1/11/2019	23:00		47.629810	07.561227		3.33
TERMINATED - 401770	401770	1/11/2019	23:00		47.630347	07.561322		2.41
TERMINATED - 401770	401770	1/12/2019	00:00		47.630365	07.561112		0.93
TERMINATED - 401771	401771	1/12/2019	00:00		47.630685	07.561062		0.56
 TERMINATED - 401773	401773	1/12/2019	00:00		47.630625	07.560335		0
TERMINATED - 401770	401770	1/12/2019	01:00		47.630192	07.563022		0.74
TERMINATED - 401771	401771	1/12/2019	01:00		47.630393	07.563670		0.56
 TERMINATED - 401773	401773	1/12/2019	01:00		47.631542	07.563275		2.96
 TERMINATED - 401773	401773	1/12/2019	02:00		47.631448	07.562392		0.37
TERMINATED - 401770	401770	1/12/2019	02:00		47.631432	07.564670		0.19
TERMINATED - 401771	401771	1/12/2019	02:00		47.631117	07.563562		0
TERMINATED - 401770	401770	1/12/2019	03:00		47.630837	07.564138		0.37
TERMINATED - 401771	401771	1/12/2019	03:00		47.630870	07.563580		0.56
 TERMINATED - 401773	401773	1/12/2019	03:00		47.631193	07.562593		0.93
TERMINATED - 401770	401770	1/12/2019	04:00		47.630900	07.563548		0.37
TERMINATED - 401771	401771	1/12/2019	04:00		47.631065	07.563222		0.56
 TERMINATED - 401773	401773	1/12/2019	04:00		47.631172	07.563115		0
 TERMINATED - 401773	401773	1/12/2019	05:00		47.630988	07.563555		0.19
TERMINATED - 401770	401770	1/12/2019	05:00		47.630780	07.563488		0.37
TERMINATED - 401771	401771	1/12/2019	05:00		47.630975	07.563455		0.37
TERMINATED - 401770	401770	1/12/2019	06:00		47.630738	07.563607		0.93
TERMINATED - 401771	401771	1/12/2019	06:00		47.630860	07.563585		1.48
 TERMINATED - 401773	401773	1/12/2019	06:00		47.631235	07.563847		0.56
 TERMINATED - 401773	401773	1/12/2019	07:00		47.630668	07.563917		0.19
TERMINATED - 401771	401771	1/12/2019	07:00		47.630660	07.563755		0
TERMINATED - 401770	401770	1/12/2019	07:00		47.630687	07.563718		0.19
TERMINATED - 401771	401771	1/12/2019	08:00		47.630972	07.563288		1.67
 TERMINATED - 401773	401773	1/12/2019	08:00		47.630785	07.563697		0.19
TERMINATED - 401770	401770	1/12/2019	08:00		47.630673	07.563637		0.74
TERMINATED - 401771	401771	1/12/2019	09:00		47.630767	07.563613		1.3
 TERMINATED - 401773	401773	1/12/2019	09:00		47.630630	07.563560		1.11
TERMINATED - 401770	401770	1/12/2019	09:00		47.629967	07.564057		1.48
TERMINATED - 401771	401771	1/12/2019	10:00		47.630980	07.563753		0.37
 TERMINATED - 401773	401773	1/12/2019	10:00		47.630142	07.564003		0.74
TERMINATED - 401770	401770	1/12/2019	10:00		47.630422	07.564412		0.74
TERMINATED - 401771	401771	1/12/2019	11:00		47.630195	07.563337		0.37
 TERMINATED - 401773	401773	1/12/2019	11:00		47.630010	07.562903		0.93
TERMINATED - 401770	401770	1/12/2019	11:00		47.629857	07.563183		0.93
TERMINATED - 401771	401771	1/12/2019	12:00		47.631732	07.561997		0.56
 TERMINATED - 401773	401773	1/12/2019	12:00		47.631300	07.561892		0.93
TERMINATED - 401770	401770	1/12/2019	12:00		47.631698	07.561842		0.93
TERMINATED - 401771	401771	1/12/2019	13:00		47.631467	07.561385		0.93
 TERMINATED - 401773	401773	1/12/2019	13:00		47.631262	07.560960		0.19
TERMINATED - 401770	401770	1/12/2019	13:00		47.630792	07.561823		0
TERMINATED - 401770	401770	1/12/2019	14:00		47.631255	07.560948		0
TERMINATED - 401771	401771	1/12/2019	14:00		47.631550	07.560805		0.93
