Name	ID	Date	Time		Latitude	Longitude	Speed
TERMINATED - 401775	401775	9/1/2020	20:00		47.629498	07.561533	1.67
Onissoi	401776	9/1/2020	20:00		47.630073	07.563067	0.74
TERMINATED - 401707	401707	9/1/2020	20:00		47.629992	07.562420	0.19
Odissa	401777	9/1/2020	20:01		47.629603	07.562913	0.74
Onissoi	401776	9/1/2020	21:00		47.631558	07.559063	0.19
TERMINATED - 401707	401707	9/1/2020	21:00		47.631048	07.559880	0.19
Odissa	401777	9/1/2020	21:00		47.631053	07.559655	0.56
TERMINATED - 401775	401775	9/1/2020	21:00		47.631337	07.558223	0.37
Onissoi	401776	9/1/2020	22:00		47.631142	07.559152	0.19
TERMINATED - 401707	401707	9/1/2020	22:00		47.631540	07.559483	0.56
Odissa	401777	9/1/2020	22:00		47.630815	07.559328	0.37
TERMINATED - 401775	401775	9/1/2020	22:00		47.631298	07.559595	0.56
TERMINATED - 401707	401707	9/1/2020	23:00		47.631350	07.559740	0.19
TERMINATED - 401775	401775	9/1/2020	23:00		47.631125	07.559562	0
Onissoi	401776	9/1/2020	23:00		47.631273	07.559393	0.19
Odissa	401777	9/1/2020	23:00		47.631195	07.559302	0.56
Onissoi	401776	9/2/2020	00:00		47.631238	07.559473	0
TERMINATED - 401707	401707	9/2/2020	00:00		47.630667	07.559707	0.19
Odissa	401777	9/2/2020	00:00		47.630977	07.559397	0.74
TERMINATED - 401775	401775	9/2/2020	00:00		47.630680	07.559383	0.37
Onissoi	401776	9/2/2020	01:00		47.629548	07.560287	0.74
TERMINATED - 401775	401775	9/2/2020	01:00		47.629278	07.559990	0.74
TERMINATED - 401707	401707	9/2/2020	01:00		47.629507	07.559972	0.19
Odissa	401777	9/2/2020	01:00		47.629600	07.560175	0.37
Onissoi	401776	9/2/2020	02:00		47.629667	07.560767	0.19
TERMINATED - 401775	401775	9/2/2020	02:00		47.630153	07.560613	0.19
Odissa	401777	9/2/2020	02:00		47.629867	07.560723	0.56
TERMINATED - 401707	401707	9/2/2020	02:00		47.630015	07.560377	0.37
Onissoi	401776	9/2/2020	03:00		47.629525	07.561308	0.37
TERMINATED - 401775	401775	9/2/2020	03:00		47.629685	07.560885	0
TERMINATED - 401707	401707	9/2/2020	03:00		47.629627	07.561022	0.37
Odissa	401777	9/2/2020	03:00		47.629515	07.561292	0.37
TERMINATED - 401707	401707	9/2/2020	04:00		47.630278	07.559928	0.74
Onissoi	401776	9/2/2020	04:00		47.630653	07.560410	0
TERMINATED - 401775	401775	9/2/2020	04:00		47.630397	07.559808	0.74
Odissa	401777	9/2/2020	04:00		47.630373	07.559923	0
TERMINATED - 401775	401775	9/2/2020	05:00		47.630615	07.559867	0.19
Onissoi	401776	9/2/2020	05:00		47.630597	07.559693	0.19
Odissa	401777	9/2/2020	05:00		47.630530	07.559622	0.37
Onissoi	401776	9/2/2020	06:00		47.630525	07.559743	0.19
Odissa	401777	9/2/2020	06:00		47.630115	07.559647	0.37
TERMINATED - 401775	401775	9/2/2020	06:00		47.630418	07.559967	0.74
TERMINATED - 401707	401707	9/2/2020	06:00		47.630563	07.559647	0.56
TERMINATED - 401707	401707	9/2/2020	07:00		47.631277	07.560367	0.93
TERMINATED - 401775	401775	9/2/2020	07:00		47.631143	07.560190	0
Odissa	401777	9/2/2020	07:00		47.631018	07.560332	0.37
Onissoi	401776	9/2/2020	07:00		47.631232	07.560320	0.56
Onissoi	401776	9/2/2020	08:00		47.630692	07.559468	0.74
TERMINATED - 401775	401775	9/2/2020	08:00		47.630848	07.559457	0.19
Odissa	401777	9/2/2020	08:00		47.630697	07.559605	0.74
TERMINATED - 401707	401707	9/2/2020	08:00		47.630708	07.558905	0.37
TERMINATED - 401775	401775	9/2/2020	09:00		47.629755	07.562522	0.19
Odissa	401777	9/2/2020	09:00		47.629742	07.562825	0.56
Onissoi	401776	9/2/2020	09:00		47.629920	07.563210	0.56
TERMINATED - 401775	401775	9/2/2020	10:00		47.629807	07.562805	0.74
Onissoi	401776	9/2/2020	10:00		47.629680	07.563017	0.56
Odissa	401777	9/2/2020	10:00		47.629948	07.563238	0.19
TERMINATED - 401707	401707	9/2/2020	10:00		47.629613	07.563140	0.74
Onissoi	401776	9/2/2020	11:00		47.629012	07.563093	0.19
TERMINATED - 401775	401775	9/2/2020	11:00		47.630063	07.562703	0.19
Odissa	401777	9/2/2020	11:00		47.629597	07.562388	0.74
