year	season	plot_nr	total_cover	cover_moss	height1_1	height1_2	height1_3	height1_4	height1_5	height1_6	height1_7	height1_8	height1_9	height1_10	height2_1	height2_2	height2_3	height2_4	height2_5	height2_6	height2_7	height2_8	height2_9	height2_10	species1	species2	species3	cover-sp1	cover-sp2	cover-sp3	cut_y_n	grazed_y_n
2020	summer	A40	100	0	7.0	9.0	8.5	16.0	0	0	0	18.0	0	11.0	19.0	13.5	9.0	10.0	25.0	2.0	8.0	15.0	0	0	Festuca pratensis	Festuca ovina	Dactylis glomerata 	50	10	10	N	Y
2020	summer	A41	80	5	7.0	7.0	6.5	6	0	8.5	9.0	0	7.0	0	31.0	0	7.0	8.0	5.0	0	8.0	8.0	7.5	0	Festuca pratensis	Koeleria pyramidata	Plantago lanceolata	30	5	15	N	Y
2020	summer	A42	60	5	16.0	15.5	4.5	10.0	7.0	0	9.0	0	0	2.0	0	0	0	0	2.0	0	9.5	11.0	0	0	Festuca ovina 	Bromus erectus	Seculigera varia	20	7	15	N	Y
2020	summer	A43	70	5	0	11.0	24.0	0	0	5.0	0	5.5	0	3.0	7.0	9.0	0	1.5	3.5	13.5	6.0	8.5	0	13.5	Festuca ovina 	Seculigera varia 	Medicago lupulina	20	7	5	N	Y
2020	summer	A44	70	10	0	0	4.0	5.0	4.5	0	6.5	7.0	0	0	8.0	2.0	0	0	3.0	5.0	5.5	0	0	0	Festuca ovina 	Festuca pratensis	Lotus corniculatus	20	7	5	N	Y
2020	summer	A45	90	0	46.0	39.0	22.0	0	8.5	4.5	56.	60.0	17.0	0	0	4.5	0	77.0	0	7.0	10.5	6.5	10.5	10.0	Vulpia myuros	Festuca gigantea	Solidago gigantea 	15	10	25	N	N
2020	summer	A46	40	25	23.5	0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	6.0	0	2.5	0	Seculigera varia 	Sanguisorba officinalis	Petroraghia prolifera	7	3	1	N	Y
2020	summer	A47	70	60	0	0	0	0	12.5	0	12.0	15.0	0	0	0	5.0	0	0	0	5.5	0	3.0	4.5	5.0	Festuca ovina 	Lotus corniculatus 	Festuca pratensis 	10	8	5	N	Y
2020	summer	A48	100	0	16.0	13.5	11.0	22.5	19.5	22.0	21.0	27.0	7.5	22.0	23.0	67.5	2.5	12.0	16.0	16.5	7.0	11.5	21.5	17.0	Agrostis gigantea	Carex sp	Juncus inflxus	20	10	10	N	Y
2020	summer	A49	75	3	6.0	13.5	8.0	38.0	6.5	11.5	0	7.0	0	0	0	12.0	11.5	7.0	0	4.0	3.0	2.5	3.5	17.5	Plantage lanceolata	Agrostis stolonifera	Medicago lupulina	30	5	10	N	Y
2020	summer	A50	80	5	17.0	2.5	0	0	1.0	0	8.0	4.5	0	0	4.5	0	11.5	31.0	4.5	20.0	0	3.5	7.0	1.5	Festuca ovina	Festuca pratensis	Lotus corniculatus	30	5	0	N	Y
2020	summer	A51	99	0	16.0	29.0	35.5	0	31.0	18.5	22.5	11.0	33.0	16.5	24.0	17.0	49.0	24.0	0	19.0	0	39.5	0	28.5	Agrostis gigantea 	Trifolium campestre 	Solidago gigantea 	20	15	7	N	Y
2020	summer	A52	90	0	18.0	0	101.0	0	0	73.0	0	0	0	0	0	0	0	102.0	70.0	0	0	137.0	0	0	Erigeron annuus	Carex flacca	Populus nigra 	20	5	50	N	N
2020	summer	A53	80	0	32.0	18.5	0	14.0	5.0	11.0	3.5	5.0	0	8.0	8.5	1.0	9.0	5.0	0	0	4.0	37.5	37.5	0	Plantago lanceolata	Festuca ovina	Medicago lupulina	20	3	10	N	Y
2020	summer	A54	30	20	0	24.5	0	5.0	0	0	0	0	0	0	0	8.0	0	4.5	0	0	0	0	0	0	Populus nigra 	Erigeron annuus	Potentilla reptans	15	1	1	N	N
2020	summer	A55	90	5	0	0	2.5	5.0	8.0	7.0	13.0	0	36.5	9.0	7.0	0.5	8.0	37.0	46.0	15.0	9.5	0	3.0	5.0	Medicago lupulina	Seculigera varia	Erigeron annuus	15	20	5	N	Y
2020	summer	A56	50	0	19.0	3.5	0	0	10.0	8.0	36.0	4.0	13.0	0	0	0	0	0	0	0	8.0	0	10.5	25.5	Agrostis gigantea	Festuca pratensis 	Seculigera varia 	10	5	10	N	Y
2020	summer	A57	60	0	8.5	25.0	2.0	7.0	14.0	28.0	0	6.0	0	11.0	10.0	39.0	21.0	68.0	1.0	12.0	38.0	5.0	14.5	0	Festuca ovina	Carex flacca 	Plantage lanceolata	10	15	5	N	Y
2020	summer	A58	70	2	0	0	0	82.0	0	1.0	0.5	94.0	24.5	16.0	0	13.0	49.5	0	0	2.0	0.5	0	1.0	0	Festuca pratensis 	Agrostis gigantea	Seculigera varia	10	5	15	N	Y
2020	summer	A59	95	1	9.5	17.5	7.0	8.0	6.5	2.0	8.0	0	4.0	6.0	4.0	3.0	5.5	8.5	5.5	6.0	2.0	21.5	15.0	0	Agrostis gigantea	Elymus repens	Picris hyeracioides	25	10	5	N	Y
2020	summer	A60	40	0	0	25.0	0	0	0	0	0	0	0	0	0	0	23.0	0	0	22.0	0	0	25.0	0	Agrostis gigantea	Solidago gigantea	Festuca ovina	5	20	2	N	Y
2020	summer	A61	80	0	0	5.0	13.0	6.0	26.5	12.5	9.0	0	0	39.0	43.0	0	0	0	36.0	0	15.5	0	7.0	0	Festuca ovina	Bromus erectus	Erigeron annus	15	10	15	N	Y
2020	summer	A62	100	10	7.5	12.5	14.0	12.5	11.5	0	42.0	29.0	0	43.0	6.0	0	11.5	10.0	0	9.5	22.0	40.0	13.0	29.5	Carex flacca	Juncus inflexus 	Medicago lupulina	50	30	5	N	Y
2020	summer	A63	40	20	9.0	3.0	0	0	0	29.0	0	15.0	0	0	0	6.0	0	0	0	0	0	0	6.5	0	Erigeron annus	Agrostis gigantea	Medicago lupulina	5	5	2	N	N
2020	summer	A64	97	0	1.0	14.5	5.0	7.0	3.0	9.0	10.5	27.0	3.0	65.0	20.0	21.5	17.0	0	7.0	0	0	12.0	0	60.5	Agrostis gigantea	Equisetum arvense	Solidago gigantea	60	10	10	N	N
2020	summer	A65	90	20	13.0	6.5	23.0	0	45.5	8.5	42.0	0	7.0	14.0	3.0	0	0	6.5	0	7.0	9.0	5.0	29.0	3.5	Festuca ovina	Agrostis gigantea	Erigeron annuus	30	10	5	N	N
2020	summer	A66	85	20	0	0	3.0	4.0	11.0	8.5	9.0	17.0	4.5	7.0	30.5	29.5	13.5	14.0	0	8.0	8.0	37.5	27.0	11.0	Festuca ovina	Seculigera varia 	Festuca pratensis	40	10	5	N	N
2020	summer	A67	70	10	0	16.0	0	7.5	0	0	7.0	59.0	0	7.5	0	54.0	0	4.0	0	56.0	0	50.5	6.5	39.0	Festuca ovina	Erigeron annuus	Bromus erectus	15	10	3	N	N
2020	summer	A68	85	0	0	3.5	61.0	52.0	8.5	1.5	37.0	0	2.5	3.0	8.0	11.0	0	80.5	1.5	16.0	12.5	0	13.0	11.5	Festuca ovina	Trifolium campestre	Picris hieracioides	20	10	10	N	Y
2020	summer	A69	65	0	3.0	10.5	0	8.5	8.5	9.0	7.5	13.0	56.0	0	7.5	9.5	13.0	2.5	14.5	2.0	0	5.0	12.5	7.5	Festuca ovina 	Bromus erectus	Erigeron annuus	30	5	10	N	N
2020	summer	A70	95	5	1.0	22.0	21.	8.0	4.5	2.5	50.0	15.5	3.0	0.5	5.5	43.0	2.5	47.0	8.0	20.5	3.0	1.0	5.0	3.5	Festuca ovina	Trifolium repens 	Erigeron annus	30	10	15	N	Y
2020	summer	A71	100	0	10.0	6.5	5.5	12.0	19.0	8.0	17.0	10.0	8.0	11.5	8.0	27.5	28.0	8.0	7.0	9.0	21.5	15.5	7.0	9.5	Agrostis gigantea 	Equisetum arvense	Holcus lanatus 	30	10	10	N	Y
2020	summer	A72	70	0	8.5	15.5	0	30.0	11.0	0	42.5	15.5	0	36.5	10.5	0	0	0	10.0	3.5	23.0	0	0	7.5	Festuca ovina	Argostis gigantea 	Erigeron annus	10	3	1	N	Y
2020	summer	A73	85	3	0	0	3.5	38.0	8.5	5.5	2.0	9.5	0	0	8.0	6.5	3.5	5.0	8.0	7.0	6.5	5.5	3.0	0	Festuca ovina	Erigeron annus	Medicago lupulina	20	30	10	N	Y
2020	summer	A74	80	0	7.0	21.0	34.5	13.0	6.5	2.0	37.5	3.0	59.0	0	2.5	8.0	2.5	9.0	6.5	13.0	12.0	0	33.5	4.5	Equisetum arvense	Festuca ovina	Picris hieracioides 	25	10	15	N	Y
2020	summer	A75	85	5	57.5	36.5	33.0	17.5	   8.5	7.5	6.0	8.5	11.0	5.0	9.0	3.0	10.0	7.0	5.0	2.0	12.0	6.0	0	4.0	Carex sp	Odontites serotinus	Erigeron annus	10	10	10	N	Y
2020	summer	A76	70	5	2.5	3.5	3.0	16.5	6.0	15.0	7.0	14.0	9.5	15.5	10.0	4.5	6.0	7.5	6.5	14.5	5.0	0	5.0	0	Equisetum arvense	Prunella vulgaris	Vicia cracca tenuifolia 	20	10	5	N	Y
